criminal_id,name,age,base_risk_score,age_group,threat_level,total_crimes_committed
da70cad5-b166-4387-bc84-78cb45a6b852,Charita Nanda,26,78,26-35 (Adult),High,11
f47883bf-7b60-4822-ba2a-da95401ee9ef,Timothy Krishna,20,49,18-25 (Young Adult),Low,17
42e751fa-9a9d-46c3-80e0-18f40f6c9e6c,Arin Khanna,39,41,36-50 (Middle Age),Low,8
4e826ca8-d08d-4f33-aab2-8b9fa0c48ba4,Bhavna Talwar,35,56,26-35 (Adult),Medium,16
162232b7-e699-44d0-a034-eb99d60ff82e,Rachita Nair,43,49,36-50 (Middle Age),Low,7
f6ba2761-bb07-4840-ad3d-0b79ba1e5a74,Matthew Tripathi,61,65,50+ (Senior),Medium,4
e719e831-9654-41f4-b29a-c8f90156f545,Ladli Nagy,27,77,26-35 (Adult),High,12
e1955a7f-2f47-425e-98f9-5f139eb3b6ea,Aarav Kalla,48,93,36-50 (Middle Age),Critical,9
c938fdd5-662e-4852-bd9d-d4a3e71dda15,Rayaan Gade,31,68,26-35 (Adult),Medium,7
d1314d4a-8dbc-4272-b2e8-cce0247f8962,Triya De,39,39,36-50 (Middle Age),Low,9
0138d962-0445-4031-9f4c-731d7c4022fd,Karan Bath,38,42,36-50 (Middle Age),Low,10
8568bb9d-bb38-4963-ad98-764936142b3b,Kala Mutti,25,59,18-25 (Young Adult),Medium,10
53cfe358-77c0-4052-bca8-00705ac6e563,Agastya Vala,49,46,36-50 (Middle Age),Low,8
2000faf0-7fb5-4906-97cc-4dbd70fc68c3,Mugdha Balan,28,43,26-35 (Adult),Low,6
6d943119-e733-44b3-a8d4-357d1bf7a66e,Dayamai Balan,32,61,26-35 (Adult),Medium,7
e3094e2b-0c7d-4b15-b00c-b613e5aea08d,Aadhya Issac,41,76,36-50 (Middle Age),High,8
7ccccbc7-69cf-4dde-b275-ea31e2870556,Bachittar Bhatnagar,33,45,26-35 (Adult),Low,8
18c980f5-421b-4f81-92a4-999ec291eba5,Andrew Sampath,42,65,36-50 (Middle Age),Medium,20
8c703be2-c97a-4c35-a48b-293ee3ff2c31,Vanya Rao,65,32,50+ (Senior),Low,10
32a6c769-0633-4b4c-9ea9-20ca25dfd33c,Ubika Dhar,42,56,36-50 (Middle Age),Medium,9
7cfdc763-fed0-47fb-8abc-3fb9e5d440cc,Falak More,41,66,36-50 (Middle Age),Medium,8
5c62c6ca-80f5-45bc-b3d1-5de1537b2bed,Manan Kalla,42,35,36-50 (Middle Age),Low,10
d088081c-cd22-484c-b67e-de544eaf16e4,Kavya Gade,40,25,36-50 (Middle Age),Low,6
5542efc8-d05a-467e-bd2e-f7fcfeca6310,Jai Lalla,24,63,18-25 (Young Adult),Medium,12
ecf08730-eea1-4228-bcc0-2e37d4d95ccf,Charles Sridhar,28,27,26-35 (Adult),Low,10
b865dad7-2154-4e48-a3c5-cacdd405bd4e,Abha Shroff,56,58,50+ (Senior),Medium,17
23149547-f74b-4665-a909-77f974a4fda6,Krishna Chacko,27,52,26-35 (Adult),Medium,11
ff857eab-311b-45c3-ad6f-bdc5158d326e,Zansi Narayan,27,33,26-35 (Adult),Low,4
e9cbc64c-af3f-4374-a3f5-73de9b7541fe,Falak Sheth,54,45,50+ (Senior),Low,8
701cdebf-bb3b-4bf3-8820-e764d1ab8d5e,Jhalak Bhargava,38,79,36-50 (Middle Age),High,10
2443aa03-5e7c-44d3-9425-5e5cc04568e6,Chanchal Patil,23,49,18-25 (Young Adult),Low,7
0454d053-32eb-4417-9e80-f9b984ee9eb4,Mekhala Sahota,25,59,18-25 (Young Adult),Medium,10
4a00d93b-c1a6-4ed5-81b4-40b0c25956ed,Keya Loke,36,64,36-50 (Middle Age),Medium,6
7046840e-9f19-4e82-99b5-572b03a408bc,George Bansal,27,19,26-35 (Adult),Low,10
f67fdce5-a605-417e-a589-cc1f83af3e2b,Bhavini Savant,26,39,26-35 (Adult),Low,14
5b801a22-7d9d-4730-b9ef-80080125ec6c,Rayaan Goel,40,57,36-50 (Middle Age),Medium,9
0d90df4b-90e0-41cd-875f-960b75dd1987,Forum Gaba,41,33,36-50 (Middle Age),Low,7
a9e8bb40-a99c-4f1f-b8a4-0b547534a9d9,Jagat Master,38,27,36-50 (Middle Age),Low,7
32205812-56dc-47e7-a56d-774ce6f74448,Pavani More,54,71,50+ (Senior),High,5
97a990e6-6012-462d-b06a-ab8d422b5873,Xavier Goswami,23,31,18-25 (Young Adult),Low,9
870665d2-7a18-4777-8b15-b4e9bcf353c6,Zarna Kanda,43,55,36-50 (Middle Age),Medium,8
ef8888b2-bc64-4858-9355-375d1f4dff34,Wyatt Radhakrishnan,47,100,36-50 (Middle Age),Critical,8
e89f3a9e-52aa-4a2e-885d-f0cab93cc91e,Lakshit Biswas,65,69,50+ (Senior),Medium,8
16e570f3-60c4-4312-af0e-504d844c6aa9,Zaid Bal,33,65,26-35 (Adult),Medium,8
a2e19408-feaa-419e-adaf-3335d23bc19a,Ekani Sarma,40,32,36-50 (Middle Age),Low,13
d10f5f13-707e-498d-af18-3d3d3818c944,Gabriel Sarma,65,12,50+ (Senior),Low,8
cc350626-7117-4275-abc8-89427b152cad,Kalpit Bajwa,32,51,26-35 (Adult),Medium,15
9b5a77c6-1ac1-477e-bd7a-0ac194a6cabf,Nilima Ratta,31,71,26-35 (Adult),High,11
13036810-a169-48e5-9afc-bbda6ac83bd5,Chandran Mukhopadhyay,65,52,50+ (Senior),Medium,11
9a7955e9-f184-4a02-859f-5237efcf1495,Wakeeta Manne,28,54,26-35 (Adult),Medium,8
0d512b72-5070-457e-93c6-4429e5bfa388,Advik Dhillon,65,86,50+ (Senior),Critical,8
4f9177fc-d253-4aa9-bbaf-9768386ab396,Bhavya Vyas,20,53,18-25 (Young Adult),Medium,14
424d52a2-6bf7-4731-83c7-315a7dd3f01a,Divya Badal,31,16,26-35 (Adult),Low,15
3d792ba4-a3de-4c47-abdb-a1db42b46129,Janani Wadhwa,46,67,36-50 (Middle Age),Medium,7
415943fe-b061-4b50-a80c-df76aa1874ff,Wriddhish Rajan,33,43,26-35 (Adult),Low,4
231a2ff8-9723-49c1-8203-e5ecfaf74a15,Chameli Tiwari,65,58,50+ (Senior),Medium,12
7279cfbc-c67b-4546-99aa-f8e59e9f876f,Tamanna Bhatt,44,83,36-50 (Middle Age),Critical,10
582289dd-ec5b-4223-beb6-8f8d0dbe09b6,Yagnesh Anand,22,40,18-25 (Young Adult),Low,12
6f2ecd65-a747-46be-a1bf-64b7c2c51c21,Nakul Toor,34,87,26-35 (Adult),Critical,14
e5c9a00a-31c2-41ca-ba2c-274148bbef5a,Faraj Morar,25,82,18-25 (Young Adult),High,9
0883db9e-b6b3-4471-9e97-eae52594470a,Tamanna Radhakrishnan,23,47,18-25 (Young Adult),Low,8
401a3517-fd1e-4699-80e1-e52a261f4554,Fariq Puri,31,73,26-35 (Adult),High,11
f50b31d7-77cd-458c-965c-b41668b0ff51,Vidhi Nayak,38,45,36-50 (Middle Age),Low,4
6bc292e4-b647-4f17-8ffa-5d0ec806d247,Gayathri Sane,38,52,36-50 (Middle Age),Medium,11
8fe2b04e-8acc-4de7-bf6c-311ecc6ab55e,Januja Chand,50,37,36-50 (Middle Age),Low,12
5a5f5ef5-7e77-4993-84a1-becb2259fd75,Sudiksha Basak,65,46,50+ (Senior),Low,11
892ade65-1c52-4c79-86c9-0a9fb75d7b84,Nathan Patla,48,40,36-50 (Middle Age),Low,10
3b86e187-4902-4c33-8b5a-df7babe9c8be,Omaja Sharma,41,38,36-50 (Middle Age),Low,16
0bfe2243-d145-4b5a-80c1-e3af4b42124f,Harshil Joshi,54,69,50+ (Senior),Medium,11
9deb7774-8607-47cc-bc50-529d404dd8a5,Hemani Krishnamurthy,65,66,50+ (Senior),Medium,14
ddca17a6-f4f4-4e9c-a8f8-cec3c71a4e36,Raksha Natarajan,49,61,36-50 (Middle Age),Medium,13
b4e4dd3d-d32f-47c7-8bde-be956928fd2d,Odika Dutt,28,49,26-35 (Adult),Low,8
4949b863-ce37-4eec-8e8f-c025be695b43,Tanay Dass,39,36,36-50 (Middle Age),Low,12
87e1e6e0-5509-4ab3-b3e4-f4b04cf188a5,Chanchal Garde,61,45,50+ (Senior),Low,10
a4d7533a-6017-42cb-81c0-f75967ce471c,Rachit Bhatt,60,41,50+ (Senior),Low,5
f5ca2473-dbd4-4480-9b6e-662e24c3774d,Harita Sur,42,76,36-50 (Middle Age),High,11
16efee24-4221-472c-9f08-ded009578cea,Irya Sangha,38,45,36-50 (Middle Age),Low,10
b5fa22bb-287d-4b91-87bc-f3a41a5cf749,Tanay Sane,54,56,50+ (Senior),Medium,8
6823ead9-9236-4057-8a27-a847a3647134,Kashvi Dash,36,88,36-50 (Middle Age),Critical,10
37b6ffd2-ba65-49b2-930f-883e59b946ba,Omkaar Kulkarni,59,29,50+ (Senior),Low,12
d887807a-6894-4339-8c42-dabeb0c1b727,Balhaar Dass,24,65,18-25 (Young Adult),Medium,9
0fab10e3-cd6c-4443-a145-12cc25383682,Dhriti Ahluwalia,50,49,36-50 (Middle Age),Low,4
23fa99c1-a865-48d4-813e-aeefb51ac012,Faras Acharya,27,8,26-35 (Adult),Low,10
757e10ee-110a-46d4-b677-0fc2dd8e38f3,Pahal Ram,65,33,50+ (Senior),Low,11
6531a59d-84d7-4f4d-880f-704d7ce267ff,Indira Arya,33,62,26-35 (Adult),Medium,5
60712d8a-c148-4ca5-9ce9-fc78827ea4a9,Naveen Iyer,65,54,50+ (Senior),Medium,11
a162593f-38a9-4252-9ac9-ab2750492cc7,Chatura Bhasin,31,61,26-35 (Adult),Medium,12
d8bd43f9-cbc5-4a46-85c1-5d937c3485d8,Lakshmi Bajwa,54,21,50+ (Senior),Low,12
c5dce523-80b8-4706-817d-3b7ddaef1c06,Meghana Mahajan,23,36,18-25 (Young Adult),Low,10
fc8bb967-9f76-465b-b6e0-c435434a01e0,Aashi Patel,65,56,50+ (Senior),Medium,12
45df05f7-c74c-4542-ac5d-2dd8a44e2862,Mahika Nayar,65,43,50+ (Senior),Low,6
deee3f93-0bb4-47e7-a861-267fdc7a801b,Xalak Hora,37,56,36-50 (Middle Age),Medium,9
55fcb785-915f-40ca-9f74-cfead43c0818,Dhriti Nori,27,59,26-35 (Adult),Medium,7
c9013396-50bf-452a-8a42-9ce49dfb9817,Andrew Nagar,39,63,36-50 (Middle Age),Medium,13
27151173-ee1f-4730-bca7-75122e5bb665,Laksh Goel,32,51,26-35 (Adult),Medium,6
602b714b-b814-4b37-a796-ecd3a64357f3,Suhani Badal,57,51,50+ (Senior),Medium,14
bb3b8cc8-7669-4e58-8b1f-3de85482b0de,Baghyawati Sankar,28,95,26-35 (Adult),Critical,11
f84471c5-1e0a-4db1-93c0-f015bcf89929,Yahvi Goel,44,93,36-50 (Middle Age),Critical,10
66794134-5b8b-40c6-82cf-64f13077382c,Frederick Chaudry,28,47,26-35 (Adult),Low,9
013476f9-6f1d-4db8-875e-929f5c8bf20c,Gaurang Vora,57,33,50+ (Senior),Low,13
577e8bec-1206-4dee-ae3f-745237e87b4b,Chatura Barad,30,70,26-35 (Adult),Medium,10
b7ad6b37-7e44-48ce-92ec-47ea0dcef5fa,Yashvi Kara,21,56,18-25 (Young Adult),Medium,8
809ca137-be89-4266-9704-c6c317c529c1,Harinakshi Nayak,65,61,50+ (Senior),Medium,7
24689e7e-bc74-406f-8f4d-e7eea11f04d5,Chavvi Cheema,57,23,50+ (Senior),Low,15
2ac97099-5dd8-4d2b-8d56-5b6a0e5d3421,Chaitaly Chaudhry,65,48,50+ (Senior),Low,5
b2204137-0b4c-4b4d-bfdc-2d6ce2b0aef5,Janya Sahni,33,15,26-35 (Adult),Low,5
250be945-8ebd-4e05-a57f-460be55dc91f,Lajita Nigam,65,55,50+ (Senior),Medium,14
1ba9e52d-7b86-431f-89c2-1c2c7e997aa2,Siya Subramanian,42,18,36-50 (Middle Age),Low,15
18c919ee-5bc6-4f9e-a4ef-2484cc13dda4,Faqid Mahajan,30,55,26-35 (Adult),Medium,9
5fc11d57-9f04-4005-b389-4ecc7f879921,Divya Malhotra,43,50,36-50 (Middle Age),Medium,12
02a3a2cb-71ec-4d16-a842-9127a7df3c18,Ira Guha,38,43,36-50 (Middle Age),Low,14
9c767c4c-bad8-4ab6-84af-84c49bfa7593,Dalaja Nadkarni,22,52,18-25 (Young Adult),Medium,12
2490ccfb-513e-477a-b98f-54dbc2d4b4df,Zaid Ravi,47,71,36-50 (Middle Age),High,9
d4d4ff5a-1989-4e50-be51-d6e9d1d5b394,Aryan Borde,65,56,50+ (Senior),Medium,11
e0f87274-2f9c-4483-9812-9a275fd28238,Bachittar Minhas,28,52,26-35 (Adult),Medium,10
451914b0-76eb-4b84-a07e-90f4a40fd69b,Wyatt Gade,65,91,50+ (Senior),Critical,13
49b4b218-fc12-4e57-b342-7cd5fff2d02f,Kavya Comar,65,29,50+ (Senior),Low,11
30e3cd7e-5b67-4b9e-974e-9b957c3c0a90,Agastya Sawhney,34,62,26-35 (Adult),Medium,11
b3af2a47-bcc9-4ce9-a5d5-1e2a4b1bdc87,Chanakya Jayaraman,65,41,50+ (Senior),Low,7
6b595519-5ed5-4fa7-a44e-b1d44e21eb73,Gagan Jani,33,71,26-35 (Adult),High,6
34c6d674-843a-43ed-9e5f-cae0feddabe8,Ishanvi Bahl,21,67,18-25 (Young Adult),Medium,7
71bbab9f-5b17-4a49-a368-7bbe91e7b0b6,Peter Bhatti,35,80,26-35 (Adult),High,5
b661205a-b557-48fa-81d4-ce3a3deb11f9,Ranbir Prashad,39,69,36-50 (Middle Age),Medium,11
9b7e0048-da7c-4506-bd3d-f9140dbdad6d,Dakshesh Mane,43,15,36-50 (Middle Age),Low,9
43516fb2-9cd6-4a77-9240-510a82e047de,Wishi Narula,37,49,36-50 (Middle Age),Low,7
dd83eac1-57c1-4f4f-87fc-3bdcbb4c392c,Jagat Seshadri,44,23,36-50 (Middle Age),Low,10
0138e6ec-f25a-49e2-adab-147947b67e8a,Tanvi Agarwal,50,27,36-50 (Middle Age),Low,6
ae4937ab-1422-427f-be89-34fee9bf83e1,Dev Patla,46,48,36-50 (Middle Age),Low,6
6b7723e8-3375-40a4-bbaf-9b6e48d680f6,Dalaja Natarajan,56,41,50+ (Senior),Low,8
ea35f6fe-609d-4ea2-88c4-7744bef2a6f3,Rohan Bumb,31,39,26-35 (Adult),Low,8
c0f4c042-4953-43f2-87d5-97c384d143ad,Ronith Konda,28,21,26-35 (Adult),Low,9
e980c83b-26a6-4d50-9d88-056deb9812ec,Balvan Deshmukh,35,89,26-35 (Adult),Critical,10
f78d1cb6-1113-4fb8-99f7-fe9efd8f593a,Sanaya Magar,38,60,36-50 (Middle Age),Medium,12
9c92c8b0-8920-46b3-94d0-85060d235235,Ridhi Tak,63,47,50+ (Senior),Low,8
0e733b88-c126-45b0-a178-ccc5f7c6cdf2,Kashish Loyal,34,35,26-35 (Adult),Low,5
5e20166d-b601-4465-a269-69199168a461,Ganga Saini,48,44,36-50 (Middle Age),Low,14
7b31b917-aee4-41c7-a805-0e762d9216df,Triya Kibe,19,37,18-25 (Young Adult),Low,8
6bd4663f-7696-4fc2-bdfd-cd11001fc79e,Ishaan Sachar,19,61,18-25 (Young Adult),Medium,10
1f32abc3-9f45-4f85-b454-c9f8db1ce41a,Vedant Pall,43,30,36-50 (Middle Age),Low,16
5f979e1e-811b-42c9-b9e1-6270ec6c2b79,Mitali Samra,39,17,36-50 (Middle Age),Low,12
4ed388d3-d36c-44c4-b012-f2c85fea54c6,Xavier Butala,41,46,36-50 (Middle Age),Low,8
c3de6fa9-b1e6-4abd-8f56-7f1ae2ecffb6,Nirja Mutti,37,37,36-50 (Middle Age),Low,9
3c2e53c9-63e0-4392-bb14-05e2156d7d94,Anmol Mannan,25,54,18-25 (Young Adult),Medium,9
f337dfbe-9d60-4b41-9eb3-d16cc33863ec,Kalpit Jayaraman,55,49,50+ (Senior),Low,4
b54a03fd-26c4-4444-88a5-890006329644,Darsh Yadav,65,97,50+ (Senior),Critical,7
cc9990be-c5b8-41f8-8fd5-9053a935f808,Ekantika Bhakta,58,29,50+ (Senior),Low,9
8b37abea-6709-4450-b3e5-46c8b8bec917,Max Aurora,35,77,26-35 (Adult),High,12
48ce27a7-bff1-44ec-9e1d-e56c68a154ee,Falguni Devan,23,22,18-25 (Young Adult),Low,10
7e6c4ea5-be42-45eb-881a-e4737f1e8098,Megha Virk,48,40,36-50 (Middle Age),Low,15
6260bbb7-3df4-4231-9960-73fd0945d31a,Joshua Dube,29,38,26-35 (Adult),Low,11
a4ac202f-55be-48d5-859b-f05955b607f8,Manthan Vasa,27,0,26-35 (Adult),Low,16
192ab1d3-f4af-4ada-841b-40fe3f60c91f,Mohammed Chaudhuri,50,45,36-50 (Middle Age),Low,11
166071c4-e685-4452-bc1a-1bfd49c27473,Hredhaan Bhattacharyya,26,54,26-35 (Adult),Medium,10
3672453d-87db-4e18-a632-03765aeac559,Niharika Choudhury,42,60,36-50 (Middle Age),Medium,8
e2aab8ec-8224-4fa2-8c4e-5c5482cfc758,Leela Oommen,26,90,26-35 (Adult),Critical,16
d0db649d-4826-457b-b220-f7a385db6d4d,Daksh Contractor,65,36,50+ (Senior),Low,9
d6ebe801-ddf7-49a6-b973-d030f00d89cb,Indira Chaudhry,48,55,36-50 (Middle Age),Medium,12
ab868e94-2159-4e3b-9c2a-436ef7d525a3,Ria Reddy,18,55,18-25 (Young Adult),Medium,8
5c12cc7d-60d4-4c83-9bd3-68324d627c2f,Udyati Krish,27,27,26-35 (Adult),Low,7
e8195bd4-e6cc-41e1-bab4-ff5833a0841d,Indali Dugar,42,36,36-50 (Middle Age),Low,9
25b45a59-6550-472b-b832-b2117a9de531,Bakhshi Shetty,38,37,36-50 (Middle Age),Low,10
1c788eb0-f49e-4daa-867c-d6cfc5131c70,Ekantika Kapoor,52,60,50+ (Senior),Medium,12
38fdef99-234a-4f7b-936c-921d93adeac2,Patrick Wable,65,14,50+ (Senior),Low,11
a7e66ca5-4fac-4c97-934f-65e3b7b65867,Yachana Sampath,25,57,18-25 (Young Adult),Medium,5
6278b7ff-8a81-45b8-bfad-2fdcb9e4867a,Kritika Datta,30,59,26-35 (Adult),Medium,10
4b81afb1-ddae-4139-bb4e-53e27a1f8963,Warjas Vig,65,56,50+ (Senior),Medium,12
e6b4610e-4181-4302-b98a-c615f12558fa,Naveen Sangha,32,43,26-35 (Adult),Low,3
f55382ce-6851-449e-a8a4-6e2f566c2cd3,Lohit Borra,33,55,26-35 (Adult),Medium,8
ce5cc695-d439-4901-97e3-9b2e7d8898f3,Ekalinga Ratta,65,44,50+ (Senior),Low,10
d6efa7e4-0b35-4885-bc54-c8960340a50d,Bhavini Borra,56,9,50+ (Senior),Low,10
92a6dd7c-fca4-4e72-928a-e6dfbdfa32d0,Pranit Guha,26,71,26-35 (Adult),High,15
ba696712-3fe5-449c-b731-c8052e7620c1,Aayush Pal,27,56,26-35 (Adult),Medium,12
01915bc1-2c67-4aa6-9990-e44102484054,Oliver Karnik,34,67,26-35 (Adult),Medium,8
de6eb2b4-417c-44f7-b492-924a180751c7,Deepa Brahmbhatt,39,20,36-50 (Middle Age),Low,10
6109a5a3-06a8-45cf-867f-6a9b6e8a551b,Ekaraj Biswas,61,60,50+ (Senior),Medium,10
b9dd6041-c81b-4f29-9431-6c20db1b49de,Aarush Bassi,64,53,50+ (Senior),Medium,9
3951a1fb-e204-4d10-b879-5f34c81e4749,Amara Pant,42,28,36-50 (Middle Age),Low,11
af99ae38-b550-4ba5-8e82-a57f81ed80c0,Barkha Keer,27,51,26-35 (Adult),Medium,10
103ec4f4-5975-46e8-8667-dafde9170a1a,Gopal Bansal,31,43,26-35 (Adult),Low,12
e7a7f82d-3a4e-42cd-826a-f8defcafc499,Leena Baral,53,44,50+ (Senior),Low,8
255bec0b-33b0-4494-b293-48e92d867dd9,Fariq Sabharwal,26,41,26-35 (Adult),Low,9
51cfd1e5-665d-40d5-9ede-8063cf62b616,Yamini Chana,30,67,26-35 (Adult),Medium,11
3ef9d626-5fa9-4530-8e62-c4f89ec5d89d,Sathvik Bava,65,17,50+ (Senior),Low,12
8ebaba2f-e700-4cc3-bded-cca4ba61bf26,Nachiket Verma,42,14,36-50 (Middle Age),Low,9
a966b95b-35a0-42b1-9d50-c9a00208d7b6,Aradhana Madan,65,53,50+ (Senior),Medium,9
a76a23e0-4ac2-4f74-884f-8c67fddb1fc5,Eta Patil,65,52,50+ (Senior),Medium,9
b487c642-bc50-4840-a7bd-5f0de2929173,Gunbir Thaker,51,54,50+ (Senior),Medium,12
cb02d019-8f18-4d59-a275-9fd22d6f44d9,Manbir Tara,45,87,36-50 (Middle Age),Critical,12
faf65b8e-0c12-43d6-9867-0a9e1bf3d673,Forum Bora,65,53,50+ (Senior),Medium,10
95cb60f8-5801-439c-aeef-f2d633a54d7a,Deepa Balasubramanian,39,30,36-50 (Middle Age),Low,6
72e39e12-0f82-4dd4-8696-e361913500c4,Anita Bajaj,36,100,36-50 (Middle Age),Critical,6
b2fb10b3-9745-4216-a6f7-a98132f20f1b,Yochana Rau,47,46,36-50 (Middle Age),Low,9
a23a22e3-1a87-4ae7-8bbc-19198383dfb2,Rayaan Rama,32,67,26-35 (Adult),Medium,12
9b2dc78f-1b54-4ea7-b427-a9c66a51fe30,Upadhriti Saini,23,24,18-25 (Young Adult),Low,6
69898f41-7ac1-4897-b8f3-45773484e8f4,Mitesh Dugal,22,44,18-25 (Young Adult),Low,14
e046b4d6-f61f-403b-8745-2bab7372b0cc,Leena Sur,34,44,26-35 (Adult),Low,10
a388bbb1-bba4-43ba-a847-50a7c3f24876,Yamini Bail,53,46,50+ (Senior),Low,14
765c382c-5acd-412e-bd9b-8fd64a1d6d5c,Anamika Ramanathan,65,72,50+ (Senior),High,11
165c39de-56f4-4668-9ea5-8005a4841520,Jacob Deshmukh,26,60,26-35 (Adult),Medium,18
956cd41e-16b3-4990-bb75-1207cde250ec,Daksh Dixit,34,27,26-35 (Adult),Low,11
feb9f241-72be-43e3-9247-158d43f064c4,Upasna Din,38,53,36-50 (Middle Age),Medium,11
efd48f61-5607-4899-b27f-f0c92be273fb,Charita Keer,38,49,36-50 (Middle Age),Low,9
c0d1520f-7c0d-4c15-be89-fb1eee72000c,Henry Gulati,36,53,36-50 (Middle Age),Medium,14
118c4a12-ecc5-4312-bcf9-2e40c18da363,Jyoti Sangha,37,39,36-50 (Middle Age),Low,6
d4f89265-fe6e-4979-ac2d-25a4168c136b,Xiti Boase,65,0,50+ (Senior),Low,4
e365b999-6351-4058-b7d4-17d063136842,Aarush Hayer,64,8,50+ (Senior),Low,14
b7dfafec-d9a5-4624-be7d-1ffa03c57c3a,Dayita Sodhi,42,44,36-50 (Middle Age),Low,6
e2657a7b-a02b-47a7-8f89-86b3eacd5649,Arunima Raghavan,23,34,18-25 (Young Adult),Low,5
3f2fb281-15e0-4e61-a21e-5e2556c04c75,Yashvi Reddy,32,48,26-35 (Adult),Low,8
0d4fd829-e8b0-4c70-89c5-b0c860949d4b,Aarush Modi,56,75,50+ (Senior),High,12
3863b686-723d-42ef-8f80-55d03ee4ce76,Lohit Ganguly,28,35,26-35 (Adult),Low,10
5adf3517-239f-4ac8-8ddf-8bff600852c0,Kai Wali,30,59,26-35 (Adult),Medium,11
0d7d2222-32ea-497e-94ff-0f2e2011f31f,Indrajit Baria,33,45,26-35 (Adult),Low,9
